module,attributes,classifier,technique,metric,score
ddd,asmt,dt,ae,accuracy,0.9348480288895576
ddd,asmt,dt,ae,fscore,0.0
ddd,asmt,dt,ae,precision,0.0
ddd,asmt,dt,ae,recall,0.0
ddd,stdnt,dt,ae,accuracy,0.8924164911224797
ddd,stdnt,dt,ae,fscore,0.006299685015749213
ddd,stdnt,dt,ae,precision,0.06481481481481481
ddd,stdnt,dt,ae,recall,0.04849884526558892
ddd,abd,dt,ae,accuracy,0.8167318687932591
ddd,abd,dt,ae,fscore,0.029062870699881376
ddd,abd,dt,ae,precision,0.0998980632008155
ddd,abd,dt,ae,recall,0.2263279445727483
ddd,abi,dt,ae,accuracy,0.8135720734276256
ddd,abi,dt,ae,fscore,0.02935507783543365
ddd,abi,dt,ae,precision,0.09860557768924302
ddd,abi,dt,ae,recall,0.2286374133949192
ddd,asmt_stdnt,dt,ae,accuracy,0.8438158290701173
ddd,asmt_stdnt,dt,ae,fscore,0.022612317762570663
ddd,asmt_stdnt,dt,ae,precision,0.10039630118890357
ddd,asmt_stdnt,dt,ae,recall,0.17551963048498845
ddd,asmt_abd,dt,ae,accuracy,0.8146253385495035
ddd,asmt_abd,dt,ae,fscore,0.036342148027773684
ddd,asmt_abd,dt,ae,precision,0.11770334928229664
ddd,asmt_abd,dt,ae,recall,0.2840646651270208
ddd,asmt_abi,dt,ae,accuracy,0.8006319590731267
ddd,asmt_abi,dt,ae,fscore,0.04097273397199705
ddd,asmt_abi,dt,ae,precision,0.1188034188034188
ddd,asmt_abi,dt,ae,recall,0.3210161662817552
ddd,stdnt_abd,dt,ae,accuracy,0.8051459524526031
ddd,stdnt_abd,dt,ae,fscore,0.024082057380704625
ddd,stdnt_abd,dt,ae,precision,0.0791015625
ddd,stdnt_abd,dt,ae,recall,0.18706697459584296
ddd,stdnt_abi,dt,ae,accuracy,0.8170328016852242
ddd,stdnt_abi,dt,ae,fscore,0.02613602613602613
ddd,stdnt_abi,dt,ae,precision,0.09176225234619396
ddd,stdnt_abi,dt,ae,recall,0.20323325635103925
ddd,asmt_stdnt_abd,dt,ae,accuracy,0.8161300030093289
ddd,asmt_stdnt_abd,dt,ae,fscore,0.02877057689455732
ddd,asmt_stdnt_abd,dt,ae,precision,0.09867751780264496
ddd,asmt_stdnt_abd,dt,ae,recall,0.22401847575057734
ddd,asmt_stdnt_abi,dt,ae,accuracy,0.8123683418597653
ddd,asmt_stdnt_abi,dt,ae,fscore,0.02349442379182156
ddd,asmt_stdnt_abi,dt,ae,precision,0.08127572016460906
ddd,asmt_stdnt_abi,dt,ae,recall,0.1824480369515012
