module,attributes,classifier,technique,metric,score
ggg,asmt,dt,ae,accuracy,0.977762494268684
ggg,asmt,dt,ae,fscore,0.0
ggg,asmt,dt,ae,precision,0.0
ggg,asmt,dt,ae,recall,0.0
ggg,stdnt,dt,ae,accuracy,0.9688216414488766
ggg,stdnt,dt,ae,fscore,0.00045840018336007336
ggg,stdnt,dt,ae,precision,0.024390243902439025
ggg,stdnt,dt,ae,recall,0.010309278350515464
ggg,abd,dt,ae,accuracy,0.9628610729023384
ggg,abd,dt,ae,fscore,0.0018323408153916628
ggg,abd,dt,ae,precision,0.0547945205479452
ggg,abd,dt,ae,recall,0.041237113402061855
ggg,abi,dt,ae,accuracy,0.9690508940852819
ggg,abi,dt,ae,fscore,0.003661327231121281
ggg,abi,dt,ae,precision,0.14814814814814814
ggg,abi,dt,ae,recall,0.08247422680412371
ggg,asmt_stdnt,dt,ae,accuracy,0.9624025676295276
ggg,asmt_stdnt,dt,ae,fscore,0.0009165902841429881
ggg,asmt_stdnt,dt,ae,precision,0.028169014084507043
ggg,asmt_stdnt,dt,ae,recall,0.020618556701030927
ggg,asmt_abd,dt,ae,accuracy,0.9573590096286108
ggg,asmt_abd,dt,ae,fscore,0.0013745704467353953
ggg,asmt_abd,dt,ae,precision,0.03157894736842105
ggg,asmt_abd,dt,ae,recall,0.030927835051546393
ggg,asmt_abi,dt,ae,accuracy,0.966299862448418
ggg,asmt_abi,dt,ae,fscore,0.002289901534234028
ggg,asmt_abi,dt,ae,precision,0.08333333333333333
ggg,asmt_abi,dt,ae,recall,0.05154639175257732
ggg,stdnt_abd,dt,ae,accuracy,0.9527739569005044
ggg,stdnt_abd,dt,ae,fscore,0.0018323408153916628
ggg,stdnt_abd,dt,ae,precision,0.034188034188034185
ggg,stdnt_abd,dt,ae,recall,0.041237113402061855
ggg,stdnt_abi,dt,ae,accuracy,0.9587345254470426
ggg,stdnt_abi,dt,ae,fscore,0.0013745704467353953
ggg,stdnt_abi,dt,ae,precision,0.033707865168539325
ggg,stdnt_abi,dt,ae,recall,0.030927835051546393
ggg,asmt_stdnt_abd,dt,ae,accuracy,0.9587345254470426
ggg,asmt_stdnt_abd,dt,ae,fscore,0.0032043945983062485
ggg,asmt_stdnt_abd,dt,ae,precision,0.07216494845360824
ggg,asmt_stdnt_abd,dt,ae,recall,0.07216494845360824
ggg,asmt_stdnt_abi,dt,ae,accuracy,0.9534617148097204
ggg,asmt_stdnt_abi,dt,ae,fscore,0.0013745704467353953
ggg,asmt_stdnt_abi,dt,ae,precision,0.026785714285714284
ggg,asmt_stdnt_abi,dt,ae,recall,0.030927835051546393
