module,attributes,classifier,technique,metric,score
bbb,asmt,knn,ae,accuracy,0.8853485838779956
bbb,asmt,knn,ae,fscore,0.0
bbb,asmt,knn,ae,precision,0.0
bbb,asmt,knn,ae,recall,0.0
bbb,stdnt,knn,ae,accuracy,0.8849400871459695
bbb,stdnt,knn,ae,fscore,0.0002722940776038121
bbb,stdnt,knn,ae,precision,0.2
bbb,stdnt,knn,ae,recall,0.0011876484560570072
bbb,abd,knn,ae,accuracy,0.8850762527233116
bbb,abd,knn,ae,fscore,0.0
bbb,abd,knn,ae,precision,0.0
bbb,abd,knn,ae,recall,0.0
bbb,abi,knn,ae,accuracy,0.8853485838779956
bbb,abi,knn,ae,fscore,0.0
bbb,abi,knn,ae,precision,0.0
bbb,abi,knn,ae,recall,0.0
bbb,asmt_stdnt,knn,ae,accuracy,0.8850762527233116
bbb,asmt_stdnt,knn,ae,fscore,0.0
bbb,asmt_stdnt,knn,ae,precision,0.0
bbb,asmt_stdnt,knn,ae,recall,0.0
bbb,asmt_abd,knn,ae,accuracy,0.8775871459694989
bbb,asmt_abd,knn,ae,fscore,0.0002722940776038121
bbb,asmt_abd,knn,ae,precision,0.01694915254237288
bbb,asmt_abd,knn,ae,recall,0.0011876484560570072
bbb,asmt_abi,knn,ae,accuracy,0.8852124183006536
bbb,asmt_abi,knn,ae,fscore,0.0
bbb,asmt_abi,knn,ae,precision,0.0
bbb,asmt_abi,knn,ae,recall,0.0
bbb,stdnt_abd,knn,ae,accuracy,0.8850762527233116
bbb,stdnt_abd,knn,ae,fscore,0.0
bbb,stdnt_abd,knn,ae,precision,0.0
bbb,stdnt_abd,knn,ae,recall,0.0
bbb,stdnt_abi,knn,ae,accuracy,0.8850762527233116
bbb,stdnt_abi,knn,ae,fscore,0.0
bbb,stdnt_abi,knn,ae,precision,0.0
bbb,stdnt_abi,knn,ae,recall,0.0
bbb,asmt_stdnt_abd,knn,ae,accuracy,0.8850762527233116
bbb,asmt_stdnt_abd,knn,ae,fscore,0.0
bbb,asmt_stdnt_abd,knn,ae,precision,0.0
bbb,asmt_stdnt_abd,knn,ae,recall,0.0
bbb,asmt_stdnt_abi,knn,ae,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,knn,ae,fscore,0.0
bbb,asmt_stdnt_abi,knn,ae,precision,0.0
bbb,asmt_stdnt_abi,knn,ae,recall,0.0
