module,attributes,classifier,technique,metric,score
aaa,asmt,nb,ae,accuracy,0.9661016949152542
aaa,asmt,nb,ae,fscore,0.0
aaa,asmt,nb,ae,precision,0.0
aaa,asmt,nb,ae,recall,0.0
aaa,stdnt,nb,ae,accuracy,0.288135593220339
aaa,stdnt,nb,ae,fscore,0.05151915455746367
aaa,stdnt,nb,ae,precision,0.036178107606679034
aaa,stdnt,nb,ae,recall,0.78
aaa,abd,nb,ae,accuracy,0.4250847457627119
aaa,abd,nb,ae,fscore,0.057932850559578676
aaa,abd,nb,ae,precision,0.04966139954853273
aaa,abd,nb,ae,recall,0.88
aaa,abi,nb,ae,accuracy,0.3138983050847457
aaa,abi,nb,ae,fscore,0.06430446194225722
aaa,abi,nb,ae,precision,0.04622641509433962
aaa,abi,nb,ae,recall,0.98
aaa,asmt_stdnt,nb,ae,accuracy,0.4359322033898305
aaa,asmt_stdnt,nb,ae,fscore,0.04894179894179894
aaa,asmt_stdnt,nb,ae,precision,0.043224299065420566
aaa,asmt_stdnt,nb,ae,recall,0.74
aaa,asmt_abd,nb,ae,accuracy,0.29898305084745763
aaa,asmt_abd,nb,ae,fscore,0.06176084099868594
aaa,asmt_abd,nb,ae,precision,0.04359925788497217
aaa,asmt_abd,nb,ae,recall,0.94
aaa,asmt_abi,nb,ae,accuracy,0.3688135593220339
aaa,asmt_abi,nb,ae,fscore,0.05921052631578948
aaa,asmt_abi,nb,ae,precision,0.04634397528321319
aaa,asmt_abi,nb,ae,recall,0.9
aaa,stdnt_abd,nb,ae,accuracy,0.33559322033898303
aaa,stdnt_abd,nb,ae,fscore,0.06303348653972422
aaa,stdnt_abd,nb,ae,precision,0.04678362573099415
aaa,stdnt_abd,nb,ae,recall,0.96
aaa,stdnt_abi,nb,ae,accuracy,0.303728813559322
aaa,stdnt_abi,nb,ae,fscore,0.06176084099868594
aaa,stdnt_abi,nb,ae,precision,0.04388422035480859
aaa,stdnt_abi,nb,ae,recall,0.94
aaa,asmt_stdnt_abd,nb,ae,accuracy,0.4230508474576271
aaa,asmt_stdnt_abd,nb,ae,fscore,0.05921052631578948
aaa,asmt_stdnt_abd,nb,ae,precision,0.0505050505050505
aaa,asmt_stdnt_abd,nb,ae,recall,0.9
aaa,asmt_stdnt_abi,nb,ae,accuracy,0.3525423728813559
aaa,asmt_stdnt_abi,nb,ae,fscore,0.060486522024983565
aaa,asmt_stdnt_abi,nb,ae,precision,0.04613841524573721
aaa,asmt_stdnt_abi,nb,ae,recall,0.92
