module,attributes,classifier,technique,metric,score
eee,asmt,nb,ae,accuracy,0.5502920181700195
eee,asmt,nb,ae,fscore,0.02118780096308186
eee,asmt,nb,ae,precision,0.023454157782515996
eee,asmt,nb,ae,recall,0.7333333333333333
eee,stdnt,nb,ae,accuracy,0.2822842310188189
eee,stdnt,nb,ae,fscore,0.024991989746876
eee,stdnt,nb,ae,precision,0.01737193763919822
eee,stdnt,nb,ae,recall,0.8666666666666667
eee,abd,nb,ae,accuracy,0.5467229072031149
eee,abd,nb,ae,fscore,0.024991989746876
eee,abd,nb,ae,precision,0.027272727272727268
eee,abd,nb,ae,recall,0.8666666666666667
eee,abi,nb,ae,accuracy,0.3770279039584685
eee,abi,nb,ae,fscore,0.02815099168266155
eee,abi,nb,ae,precision,0.022414671421293938
eee,abi,nb,ae,recall,0.9777777777777776
eee,asmt_stdnt,nb,ae,accuracy,0.32770927968851393
eee,asmt_stdnt,nb,ae,fscore,0.019916479280436883
eee,asmt_stdnt,nb,ae,precision,0.014839636189564385
eee,asmt_stdnt,nb,ae,recall,0.6888888888888889
eee,asmt_abd,nb,ae,accuracy,0.436729396495782
eee,asmt_abd,nb,ae,fscore,0.02688860435339309
eee,asmt_abd,nb,ae,precision,0.02366197183098592
eee,asmt_abd,nb,ae,recall,0.9333333333333332
eee,asmt_abi,nb,ae,accuracy,0.3685918234912395
eee,asmt_abi,nb,ae,fscore,0.02815099168266155
eee,asmt_abi,nb,ae,precision,0.022121669180492708
eee,asmt_abi,nb,ae,recall,0.9777777777777776
eee,stdnt_abd,nb,ae,accuracy,0.33711875405580793
eee,stdnt_abd,nb,ae,fscore,0.026256804354787062
eee,stdnt_abd,nb,ae,precision,0.01971153846153846
eee,stdnt_abd,nb,ae,recall,0.9111111111111112
eee,stdnt_abi,nb,ae,accuracy,0.4253731343283582
eee,stdnt_abi,nb,ae,fscore,0.02815099168266155
eee,stdnt_abi,nb,ae,precision,0.024255788313120176
eee,stdnt_abi,nb,ae,recall,0.9777777777777776
eee,asmt_stdnt_abd,nb,ae,accuracy,0.3202465931213498
eee,asmt_stdnt_abd,nb,ae,fscore,0.02752
eee,asmt_stdnt_abd,nb,ae,precision,0.020131086142322098
eee,asmt_stdnt_abd,nb,ae,recall,0.9555555555555556
eee,asmt_stdnt_abi,nb,ae,accuracy,0.3870863075924724
eee,asmt_stdnt_abi,nb,ae,fscore,0.02688860435339309
eee,asmt_stdnt_abi,nb,ae,precision,0.021784232365145227
eee,asmt_stdnt_abi,nb,ae,recall,0.9333333333333332
