module,attributes,classifier,technique,metric,score
bbb,asmt,nn,ae,accuracy,0.8853485838779956
bbb,asmt,nn,ae,fscore,0.0
bbb,asmt,nn,ae,precision,0.0
bbb,asmt,nn,ae,recall,0.0
bbb,stdnt,nn,ae,accuracy,0.8850762527233116
bbb,stdnt,nn,ae,fscore,0.0
bbb,stdnt,nn,ae,precision,0.0
bbb,stdnt,nn,ae,recall,0.0
bbb,abd,nn,ae,accuracy,0.8733660130718954
bbb,abd,nn,ae,fscore,0.0005445140212360467
bbb,abd,nn,ae,precision,0.021739130434782608
bbb,abd,nn,ae,recall,0.0023752969121140144
bbb,abi,nn,ae,accuracy,0.8852124183006536
bbb,abi,nn,ae,fscore,0.0
bbb,abi,nn,ae,precision,0.0
bbb,abi,nn,ae,recall,0.0
bbb,asmt_stdnt,nn,ae,accuracy,0.8835784313725491
bbb,asmt_stdnt,nn,ae,fscore,0.0002722940776038121
bbb,asmt_stdnt,nn,ae,precision,0.06666666666666668
bbb,asmt_stdnt,nn,ae,recall,0.0011876484560570072
bbb,asmt_abd,nn,ae,accuracy,0.8826252723311547
bbb,asmt_abd,nn,ae,fscore,0.0002722940776038121
bbb,asmt_abd,nn,ae,precision,0.045454545454545456
bbb,asmt_abd,nn,ae,recall,0.0011876484560570072
bbb,asmt_abi,nn,ae,accuracy,0.8824891067538126
bbb,asmt_abi,nn,ae,fscore,0.0005445140212360467
bbb,asmt_abi,nn,ae,precision,0.08
bbb,asmt_abi,nn,ae,recall,0.0023752969121140144
bbb,stdnt_abd,nn,ae,accuracy,0.8790849673202614
bbb,stdnt_abd,nn,ae,fscore,0.0005445140212360467
bbb,stdnt_abd,nn,ae,precision,0.04
bbb,stdnt_abd,nn,ae,recall,0.0023752969121140144
bbb,stdnt_abi,nn,ae,accuracy,0.8789488017429193
bbb,stdnt_abi,nn,ae,fscore,0.0008166598611678236
bbb,stdnt_abi,nn,ae,precision,0.05660377358490566
bbb,stdnt_abi,nn,ae,recall,0.003562945368171021
bbb,asmt_stdnt_abd,nn,ae,accuracy,0.8762254901960784
bbb,asmt_stdnt_abd,nn,ae,fscore,0.0013607293509320993
bbb,asmt_stdnt_abd,nn,ae,precision,0.06493506493506493
bbb,asmt_stdnt_abd,nn,ae,recall,0.005938242280285036
bbb,asmt_stdnt_abi,nn,ae,accuracy,0.8709150326797386
bbb,asmt_stdnt_abi,nn,ae,fscore,0.0013607293509320993
bbb,asmt_stdnt_abi,nn,ae,precision,0.04310344827586207
bbb,asmt_stdnt_abi,nn,ae,recall,0.005938242280285036
