module,attributes,classifier,technique,metric,score
bbb,asmt,rf,ae,accuracy,0.8853485838779956
bbb,asmt,rf,ae,fscore,0.0
bbb,asmt,rf,ae,precision,0.0
bbb,asmt,rf,ae,recall,0.0
bbb,stdnt,rf,ae,accuracy,0.8830337690631809
bbb,stdnt,rf,ae,fscore,0.0010887316276537834
bbb,stdnt,rf,ae,precision,0.16
bbb,stdnt,rf,ae,recall,0.004750593824228029
bbb,abd,rf,ae,accuracy,0.8804466230936819
bbb,abd,rf,ae,fscore,0.0008166598611678236
bbb,abd,rf,ae,precision,0.07142857142857142
bbb,abd,rf,ae,recall,0.003562945368171021
bbb,abi,rf,ae,accuracy,0.8850762527233116
bbb,abi,rf,ae,fscore,0.0
bbb,abi,rf,ae,precision,0.0
bbb,abi,rf,ae,recall,0.0
bbb,asmt_stdnt,rf,ae,accuracy,0.8850762527233116
bbb,asmt_stdnt,rf,ae,fscore,0.0
bbb,asmt_stdnt,rf,ae,precision,0.0
bbb,asmt_stdnt,rf,ae,recall,0.0
bbb,asmt_abd,rf,ae,accuracy,0.8852124183006536
bbb,asmt_abd,rf,ae,fscore,0.0
bbb,asmt_abd,rf,ae,precision,0.0
bbb,asmt_abd,rf,ae,recall,0.0
bbb,asmt_abi,rf,ae,accuracy,0.8853485838779956
bbb,asmt_abi,rf,ae,fscore,0.0
bbb,asmt_abi,rf,ae,precision,0.0
bbb,asmt_abi,rf,ae,recall,0.0
bbb,stdnt_abd,rf,ae,accuracy,0.8853485838779956
bbb,stdnt_abd,rf,ae,fscore,0.0
bbb,stdnt_abd,rf,ae,precision,0.0
bbb,stdnt_abd,rf,ae,recall,0.0
bbb,stdnt_abi,rf,ae,accuracy,0.8853485838779956
bbb,stdnt_abi,rf,ae,fscore,0.0
bbb,stdnt_abi,rf,ae,precision,0.0
bbb,stdnt_abi,rf,ae,recall,0.0
bbb,asmt_stdnt_abd,rf,ae,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,rf,ae,fscore,0.0
bbb,asmt_stdnt_abd,rf,ae,precision,0.0
bbb,asmt_stdnt_abd,rf,ae,recall,0.0
bbb,asmt_stdnt_abi,rf,ae,accuracy,0.8789488017429193
bbb,asmt_stdnt_abi,rf,ae,fscore,0.0002722940776038121
bbb,asmt_stdnt_abi,rf,ae,precision,0.020408163265306117
bbb,asmt_stdnt_abi,rf,ae,recall,0.0011876484560570072
