module,attributes,classifier,technique,metric,score
eee,asmt,rf,ae,accuracy,0.9853990914990266
eee,asmt,rf,ae,fscore,0.0
eee,asmt,rf,ae,precision,0.0
eee,asmt,rf,ae,recall,0.0
eee,stdnt,rf,ae,accuracy,0.9850746268656716
eee,stdnt,rf,ae,fscore,0.0
eee,stdnt,rf,ae,precision,0.0
eee,stdnt,rf,ae,recall,0.0
eee,abd,rf,ae,accuracy,0.9850746268656716
eee,abd,rf,ae,fscore,0.0
eee,abd,rf,ae,precision,0.0
eee,abd,rf,ae,recall,0.0
eee,abi,rf,ae,accuracy,0.9850746268656716
eee,abi,rf,ae,fscore,0.0
eee,abi,rf,ae,precision,0.0
eee,abi,rf,ae,recall,0.0
eee,asmt_stdnt,rf,ae,accuracy,0.9850746268656716
eee,asmt_stdnt,rf,ae,fscore,0.0
eee,asmt_stdnt,rf,ae,precision,0.0
eee,asmt_stdnt,rf,ae,recall,0.0
eee,asmt_abd,rf,ae,accuracy,0.9841012329656068
eee,asmt_abd,rf,ae,fscore,0.0
eee,asmt_abd,rf,ae,precision,0.0
eee,asmt_abd,rf,ae,recall,0.0
eee,asmt_abi,rf,ae,accuracy,0.9853990914990266
eee,asmt_abi,rf,ae,fscore,0.0
eee,asmt_abi,rf,ae,precision,0.0
eee,asmt_abi,rf,ae,recall,0.0
eee,stdnt_abd,rf,ae,accuracy,0.9850746268656716
eee,stdnt_abd,rf,ae,fscore,0.0
eee,stdnt_abd,rf,ae,precision,0.0
eee,stdnt_abd,rf,ae,recall,0.0
eee,stdnt_abi,rf,ae,accuracy,0.9853990914990266
eee,stdnt_abi,rf,ae,fscore,0.0
eee,stdnt_abi,rf,ae,precision,0.0
eee,stdnt_abi,rf,ae,recall,0.0
eee,asmt_stdnt_abd,rf,ae,accuracy,0.9850746268656716
eee,asmt_stdnt_abd,rf,ae,fscore,0.0
eee,asmt_stdnt_abd,rf,ae,precision,0.0
eee,asmt_stdnt_abd,rf,ae,recall,0.0
eee,asmt_stdnt_abi,rf,ae,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,rf,ae,fscore,0.0
eee,asmt_stdnt_abi,rf,ae,precision,0.0
eee,asmt_stdnt_abi,rf,ae,recall,0.0
