module,attributes,classifier,technique,metric,score
ggg,asmt,rf,ae,accuracy,0.977762494268684
ggg,asmt,rf,ae,fscore,0.0
ggg,asmt,rf,ae,precision,0.0
ggg,asmt,rf,ae,recall,0.0
ggg,stdnt,rf,ae,accuracy,0.9761577258138469
ggg,stdnt,rf,ae,fscore,0.00045840018336007336
ggg,stdnt,rf,ae,precision,0.1111111111111111
ggg,stdnt,rf,ae,recall,0.010309278350515464
ggg,abd,rf,ae,accuracy,0.9773039889958736
ggg,abd,rf,ae,fscore,0.0
ggg,abd,rf,ae,precision,0.0
ggg,abd,rf,ae,recall,0.0
ggg,abi,rf,ae,accuracy,0.977762494268684
ggg,abi,rf,ae,fscore,0.00045840018336007336
ggg,abi,rf,ae,precision,0.5
ggg,abi,rf,ae,recall,0.010309278350515464
ggg,asmt_stdnt,rf,ae,accuracy,0.9740944520861988
ggg,asmt_stdnt,rf,ae,fscore,0.0
ggg,asmt_stdnt,rf,ae,precision,0.0
ggg,asmt_stdnt,rf,ae,recall,0.0
ggg,asmt_abd,rf,ae,accuracy,0.9766162310866576
ggg,asmt_abd,rf,ae,fscore,0.00045840018336007336
ggg,asmt_abd,rf,ae,precision,0.14285714285714285
ggg,asmt_abd,rf,ae,recall,0.010309278350515464
ggg,asmt_abi,rf,ae,accuracy,0.9775332416322788
ggg,asmt_abi,rf,ae,fscore,0.0009165902841429881
ggg,asmt_abi,rf,ae,precision,0.4
ggg,asmt_abi,rf,ae,recall,0.020618556701030927
ggg,stdnt_abd,rf,ae,accuracy,0.977762494268684
ggg,stdnt_abd,rf,ae,fscore,0.0
ggg,stdnt_abd,rf,ae,precision,0.0
ggg,stdnt_abd,rf,ae,recall,0.0
ggg,stdnt_abi,rf,ae,accuracy,0.9761577258138469
ggg,stdnt_abi,rf,ae,fscore,0.0
ggg,stdnt_abi,rf,ae,precision,0.0
ggg,stdnt_abi,rf,ae,recall,0.0
ggg,asmt_stdnt_abd,rf,ae,accuracy,0.977762494268684
ggg,asmt_stdnt_abd,rf,ae,fscore,0.0
ggg,asmt_stdnt_abd,rf,ae,precision,0.0
ggg,asmt_stdnt_abd,rf,ae,recall,0.0
ggg,asmt_stdnt_abi,rf,ae,accuracy,0.9766162310866576
ggg,asmt_stdnt_abi,rf,ae,fscore,0.0
ggg,asmt_stdnt_abi,rf,ae,precision,0.0
ggg,asmt_stdnt_abi,rf,ae,recall,0.0
